ID,Código,Descrição,Unidade,NCM,Origem,Preço,Valor IPI fixo,Observações,Situação,Estoque,Preço de custo,Cód no fornecedor,Fornecedor,Localização,Estoque maximo,Estoque minimo,Peso líquido (Kg),Peso bruto (Kg),GTIN/EAN,GTIN/EAN da embalagem,Largura do Produto,Altura do Produto,Profundidade do produto,Data Validade,Descrição do Produto no Fornecedor,Descrição Complementar,Itens p/ caixa,Produto Variação,Tipo Produção,Classe de enquadramento do IPI,Código da lista de serviços,Tipo do item,Grupo de Tags/Tags,Tributos,Código Pai,Código Integração,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Condição do produto,Frete Grátis,Número FCI,Vídeo,Departamento,Unidade de medida,Preço de compra,Valor base ICMS ST para retenção,Valor ICMS ST para retenção,Valor ICMS próprio do substituto,Categoria do produto,Informações Adicionais
,DNX-CAM-001-M-BRA,Tamanho:M;Cor:Branco,UN,6109.10.00,0,"79,90",0,Variação M/Branco,Ativo,20,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão M Branco,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-G-PRT,Tamanho:G;Cor:Preto,UN,6109.10.00,0,"79,90",0,Variação G/Preto,Ativo,18,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão G Preto,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-G-BRA,Tamanho:G;Cor:Branco,UN,6109.10.00,0,"79,90",0,Variação G/Branco,Ativo,18,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão G Branco,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-GG-PRT,Tamanho:GG;Cor:Preto,UN,6109.10.00,0,"79,90",0,Variação GG/Preto,Ativo,10,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão GG Preto,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-GG-BRA,Tamanho:GG;Cor:Branco,UN,6109.10.00,0,"79,90",0,Variação GG/Branco,Ativo,10,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão GG Branco,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002,Camisa Polo Piquet,UN,6105.10.00,0,"99,90",0,Produto pai com variações,Ativo,0,"48,00",,DropNexo,Prateleira B1,200,8,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet,Camisa Polo Piquet — com variações de tamanho e cor,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-P-PRT,Tamanho:P;Cor:Preto,UN,6105.10.00,0,"99,90",0,Variação P/Preto,Ativo,12,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet P Preto,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-P-BRA,Tamanho:P;Cor:Branco,UN,6105.10.00,0,"99,90",0,Variação P/Branco,Ativo,12,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet P Branco,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-M-PRT,Tamanho:M;Cor:Preto,UN,6105.10.00,0,"99,90",0,Variação M/Preto,Ativo,20,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet M Preto,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-M-BRA,Tamanho:M;Cor:Branco,UN,6105.10.00,0,"99,90",0,Variação M/Branco,Ativo,20,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet M Branco,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-G-PRT,Tamanho:G;Cor:Preto,UN,6105.10.00,0,"99,90",0,Variação G/Preto,Ativo,18,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet G Preto,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-G-BRA,Tamanho:G;Cor:Branco,UN,6105.10.00,0,"99,90",0,Variação G/Branco,Ativo,18,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet G Branco,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-GG-PRT,Tamanho:GG;Cor:Preto,UN,6105.10.00,0,"99,90",0,Variação GG/Preto,Ativo,10,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet GG Preto,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-002-GG-BRA,Tamanho:GG;Cor:Branco,UN,6105.10.00,0,"99,90",0,Variação GG/Branco,Ativo,10,"48,00",,DropNexo,Prateleira B1,80,3,"0,28","0,36",,,32,2,42,,Camisa Polo Piquet GG Branco,,1,Variação,Própria,,,,,,DNX-CAM-002,0,DropNexo Teste,DropNexo,,1,Polo piquet unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"43,20",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAL-001,Calça Jeans Slim,UN,6203.42.00,0,"149,90",0,Produto pai com variações,Ativo,0,"70,00",,DropNexo,Prateleira B1,200,8,"0,55","0,63",,,35,4,40,,Calça Jeans Slim,Calça Jeans Slim — com variações de tamanho e cor,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-P-PRT,Tamanho:P;Cor:Preto,UN,6203.42.00,0,"149,90",0,Variação P/Preto,Ativo,12,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim P Preto,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-P-BRA,Tamanho:P;Cor:Branco,UN,6203.42.00,0,"149,90",0,Variação P/Branco,Ativo,12,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim P Branco,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-M-PRT,Tamanho:M;Cor:Preto,UN,6203.42.00,0,"149,90",0,Variação M/Preto,Ativo,20,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim M Preto,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-M-BRA,Tamanho:M;Cor:Branco,UN,6203.42.00,0,"149,90",0,Variação M/Branco,Ativo,20,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim M Branco,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-G-PRT,Tamanho:G;Cor:Preto,UN,6203.42.00,0,"149,90",0,Variação G/Preto,Ativo,18,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim G Preto,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-G-BRA,Tamanho:G;Cor:Branco,UN,6203.42.00,0,"149,90",0,Variação G/Branco,Ativo,18,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim G Branco,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-GG-PRT,Tamanho:GG;Cor:Preto,UN,6203.42.00,0,"149,90",0,Variação GG/Preto,Ativo,10,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim GG Preto,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-001-GG-BRA,Tamanho:GG;Cor:Branco,UN,6203.42.00,0,"149,90",0,Variação GG/Branco,Ativo,10,"70,00",,DropNexo,Prateleira B1,80,3,"0,55","0,63",,,35,4,40,,Calça Jeans Slim GG Branco,,1,Variação,Própria,,,,,,DNX-CAL-001,0,DropNexo Teste,DropNexo,,1,Calça jeans slim,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"63,00",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002,Calça Moletom Casual,UN,6103.42.00,0,"119,90",0,Produto pai com variações,Ativo,0,"52,00",,DropNexo,Prateleira B1,200,8,"0,48","0,56",,,34,4,40,,Calça Moletom Casual,Calça Moletom Casual — com variações de tamanho e cor,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-P-PRT,Tamanho:P;Cor:Preto,UN,6103.42.00,0,"119,90",0,Variação P/Preto,Ativo,12,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual P Preto,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-P-BRA,Tamanho:P;Cor:Branco,UN,6103.42.00,0,"119,90",0,Variação P/Branco,Ativo,12,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual P Branco,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-M-PRT,Tamanho:M;Cor:Preto,UN,6103.42.00,0,"119,90",0,Variação M/Preto,Ativo,20,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual M Preto,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-M-BRA,Tamanho:M;Cor:Branco,UN,6103.42.00,0,"119,90",0,Variação M/Branco,Ativo,20,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual M Branco,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-G-PRT,Tamanho:G;Cor:Preto,UN,6103.42.00,0,"119,90",0,Variação G/Preto,Ativo,18,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual G Preto,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-G-BRA,Tamanho:G;Cor:Branco,UN,6103.42.00,0,"119,90",0,Variação G/Branco,Ativo,18,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual G Branco,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-GG-PRT,Tamanho:GG;Cor:Preto,UN,6103.42.00,0,"119,90",0,Variação GG/Preto,Ativo,10,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual GG Preto,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
,DNX-CAL-002-GG-BRA,Tamanho:GG;Cor:Branco,UN,6103.42.00,0,"119,90",0,Variação GG/Branco,Ativo,10,"52,00",,DropNexo,Prateleira B1,80,3,"0,48","0,56",,,34,4,40,,Calça Moletom Casual GG Branco,,1,Variação,Própria,,,,,,DNX-CAL-002,0,DropNexo Teste,DropNexo,,1,Calça moletom casual,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"46,80",0,0,0,DropNexo Teste>>Calças,Produto de teste DropNexo / Bling
